transcript_id	gene_id	gene_name	transcript_name	biotype	mapped_reads	explained_reads	mean_best_identity	mean_best_query_cov
ENST00000262030.8	ENSG00000110955.9	ATP5F1B	ATP5F1B-201	protein_coding	2	1	0.9901234567901235	0.6513672416662044
ENST00000367742.7	ENSG00000117523.18	PRRC2C	PRRC2C-202	protein_coding	2	1	0.9706744868035191	0.5834580551078363
ENST00000256689.10	ENSG00000134294.14	SLC38A2	SLC38A2-201	protein_coding	2	1	1.0	0.5680865760994704
ENST00000443617.7	ENSG00000103657.14	HERC1	HERC1-201	protein_coding	2	1	0.9917825537294565	0.5387074973062235
ENST00000261880.10	ENSG00000103591.13	AAGAB	AAGAB-201	protein_coding	2	1	0.976063829787234	0.5359285660037539
ENST00000265044.7	ENSG00000114850.7	SSR3	SSR3-201	protein_coding	2	1	0.9708333333333333	0.5216977605600299
ENST00000710950.1	ENSG00000251562.13	MALAT1	MALAT1-265	lncRNA	2	1	1.0	0.5107636244968998
ENST00000375255.8	ENSG00000115827.14	DCAF17	DCAF17-202	protein_coding	2	1	0.869908032188734	0.506091187828992
ENST00000783049.1	ENSG00000251562.13	MALAT1	MALAT1-271	lncRNA	2	1	0.9860557768924303	0.5032897371413927
ENST00000253039.9	ENSG00000130741.11	EIF2S3	EIF2S3-201	protein_coding	2	1	1.0	0.49344997362405485
ENST00000525634.6	ENSG00000110700.7	RPS13	RPS13-202	protein_coding	2	1	0.9806984403758597	0.4814261208514202
ENST00000324489.6	ENSG00000180354.17	MTURN	MTURN-202	protein_coding	2	1	0.9539473684210527	0.46402101510460647
ENST00000654577.1	ENSG00000286834.1	ENSG00000286834	ENST00000654577	lncRNA	2	1	0.9174311926605505	0.43861796271888537
ENST00000298130.5	ENSG00000165389.7	SPTSSA	SPTSSA-201	protein_coding	2	1	0.9935567010309279	0.42546027184522384
ENST00000690717.1	ENSG00000144649.10	GASK1A	GASK1A-211	protein_coding_CDS_not_defined	2	1	0.9959183673469387	0.41891394046566466
ENST00000394936.8	ENSG00000197746.15	PSAP	PSAP-201	protein_coding	2	1	0.9848484848484849	0.39298399260448597
ENST00000710948.1	ENSG00000251562.13	MALAT1	MALAT1-263	lncRNA	2	1	0.9670658682634731	0.38751319878118684
ENST00000290341.8	ENSG00000159217.10	IGF2BP1	IGF2BP1-201	protein_coding	2	1	0.9621928166351608	0.3811229473880076
ENST00000361227.2	ENSG00000198840.2	MT-ND3	MT-ND3-201	protein_coding	2	1	0.8458419599723948	0.3677576466004286
ENST00000444452.5	ENSG00000138073.14	PREB	PREB-206	nonsense_mediated_decay	2	1	1.0	0.34343771659000694
ENST00000698171.1	ENSG00000234719.9	NPIPB2	NPIPB2-208	protein_coding	1	1	0.8578088578088578	0.9816933638443935
ENST00000507018.5	ENSG00000120708.17	TGFBI	TGFBI-206	nonsense_mediated_decay	1	1	0.9014598540145985	0.9784172661870504
ENST00000716927.1	ENSG00000291082.2	HERC2P9	HERC2P9-221	lncRNA	1	1	0.9656084656084656	0.9766839378238342
ENST00000445299.6	ENSG00000119231.11	SENP5	SENP5-204	protein_coding	1	1	0.9623287671232876	0.9692946058091286
ENST00000707261.1	ENSG00000291356.1	IARS1	IARS1-256	retained_intron	1	1	0.9136442141623489	0.9654882154882155
ENST00000246117.9	ENSG00000125912.11	NCLN	NCLN-201	protein_coding	1	1	0.925531914893617	0.9391117478510028
ENST00000355758.9	ENSG00000122299.12	ZC3H7A	ZC3H7A-201	protein_coding	1	1	0.9803296119085593	0.9374374374374375
ENST00000640306.1	ENSG00000153187.21	HNRNPU	HNRNPU-228	nonsense_mediated_decay	1	1	0.9869543401906673	0.9343339587242027
ENST00000217289.9	ENSG00000101311.17	FERMT1	FERMT1-201	protein_coding	1	1	0.9775583482944344	0.9228855721393034
ENST00000695870.1	ENSG00000185043.13	CIB1	CIB1-204	retained_intron	1	1	0.9013377926421404	0.9213569776407093
ENST00000369109.8	ENSG00000117362.13	APH1A	APH1A-203	protein_coding	1	1	0.9484605087014726	0.9129368485591661
ENST00000335756.9	ENSG00000115163.15	CENPA	CENPA-202	protein_coding	1	1	0.8713872832369942	0.9101754385964912
ENST00000715230.1	ENSG00000121481.12	RNF2	RNF2-205	protein_coding	1	1	0.9806243272335845	0.9089128305582762
ENST00000367334.9	ENSG00000116857.17	TMEM9	TMEM9-204	protein_coding	1	1	0.9120603015075377	0.9084668192219679
ENST00000570308.5	ENSG00000087245.13	MMP2	MMP2-208	protein_coding	1	1	0.852810650887574	0.9024577572964669
ENST00000679106.1	ENSG00000142541.18	RPL13A	RPL13A-222	protein_coding	1	1	0.9568733153638814	0.8982229402261712
ENST00000424459.7	ENSG00000062194.16	GPBP1	GPBP1-203	protein_coding	1	1	0.9455066921606119	0.8960481099656358
ENST00000318596.8	ENSG00000181035.14	SLC25A42	SLC25A42-201	protein_coding	1	1	0.9418604651162791	0.8911917098445595
ENST00000332211.11	ENSG00000165637.14	VDAC2	VDAC2-203	protein_coding	1	1	0.924	0.8903467666354264
ENST00000392514.9	ENSG00000089157.16	RPLP0	RPLP0-203	protein_coding	1	1	0.9097605893186004	0.8853398853398854
ENST00000398148.7	ENSG00000088247.19	KHSRP	KHSRP-201	protein_coding	1	1	0.9686520376175548	0.8817005545286506
ENST00000205948.11	ENSG00000091583.11	APOH	APOH-201	protein_coding	1	1	0.9006156552330695	0.8813559322033898
ENST00000261951.9	ENSG00000113300.13	CNOT6	CNOT6-201	protein_coding	1	1	0.801025641025641	0.8804744525547445
ENST00000616691.2	ENSG00000251562.13	MALAT1	MALAT1-209	lncRNA	1	1	0.9932885906040269	0.8777614138438881
ENST00000374269.2	ENSG00000175087.10	PDIK1L	PDIK1L-201	protein_coding	1	1	0.9867788461538461	0.8765822784810127
ENST00000273550.12	ENSG00000167996.16	FTH1	FTH1-201	protein_coding	1	1	0.9846827133479212	0.8688212927756654
ENST00000251496.7	ENSG00000109805.10	NCAPG	NCAPG-201	protein_coding	1	1	0.9792477302204928	0.8614525139664805
ENST00000610851.2	ENSG00000251562.13	MALAT1	MALAT1-205	lncRNA	1	1	0.9989293361884368	0.8608294930875576
ENST00000429257.5	ENSG00000180229.13	HERC2P3	HERC2P3-201	transcribed_unprocessed_pseudogene	1	1	0.9776315789473684	0.8605442176870748
ENST00000264893.11	ENSG00000138758.12	SEPTIN11	SEPTIN11-201	protein_coding	1	1	0.9923273657289002	0.8602860286028603
ENST00000372755.7	ENSG00000035403.18	VCL	VCL-202	protein_coding	1	1	0.9375	0.8556034482758621
ENST00000645231.2	ENSG00000285069.2	SESN2	SESN2-202	protein_coding	1	1	1.0	0.8536585365853658
ENST00000614960.4	ENSG00000118193.12	KIF14	KIF14-202	protein_coding	1	1	0.9477040816326531	0.8529411764705882
ENST00000637049.1	ENSG00000140718.22	FTO	FTO-218	nonsense_mediated_decay	1	1	0.84375	0.8443708609271523
ENST00000565417.6	ENSG00000261740.7	BOLA2-SMG1P6	BOLA2-SMG1P6-202	nonsense_mediated_decay	1	1	0.8404017857142857	0.8384976525821596
ENST00000476772.5	ENSG00000112715.26	VEGFA	VEGFA-211	retained_intron	1	1	0.9763663220088626	0.8347718865598027
ENST00000593184.5	ENSG00000160471.13	COX6B2	COX6B2-210	protein_coding	1	1	0.8591304347826086	0.83
ENST00000520728.5	ENSG00000164951.16	PDP1	PDP1-208	protein_coding	1	1	0.9832535885167464	0.8293650793650794
ENST00000280326.9	ENSG00000150753.12	CCT5	CCT5-201	protein_coding	1	1	0.9033457249070632	0.8276923076923077
ENST00000376588.4	ENSG00000135069.14	PSAT1	PSAT1-202	protein_coding	1	1	0.957345971563981	0.8267716535433071
ENST00000484265.1	ENSG00000164985.15	PSIP1	PSIP1-208	protein_coding_CDS_not_defined	1	1	0.9416666666666667	0.8247566063977747
ENST00000300651.11	ENSG00000125686.12	MED1	MED1-201	protein_coding	1	1	0.9305555555555556	0.8244604316546763
ENST00000628346.2	ENSG00000106976.22	DNM1	DNM1-213	protein_coding	1	1	1.0	0.823076923076923
ENST00000383564.8	ENSG00000183311.16	TUBB	TUBB-201	protein_coding	1	1	1.0	0.8161434977578476
ENST00000638952.1	ENSG00000153187.21	HNRNPU	HNRNPU-217	retained_intron	1	1	0.9518518518518518	0.8157099697885196
ENST00000548130.5	ENSG00000139613.12	SMARCC2	SMARCC2-205	retained_intron	1	1	1.0	0.8108108108108109
ENST00000449376.5	ENSG00000177479.20	ARIH2	ARIH2-205	protein_coding	1	1	0.8336633663366336	0.8099838969404187
ENST00000523569.1	ENSG00000104472.10	CHRAC1	CHRAC1-205	retained_intron	1	1	0.9030837004405287	0.8093525179856115
ENST00000302418.5	ENSG00000170759.11	KIF5B	KIF5B-201	protein_coding	1	1	0.8968253968253969	0.8076923076923077
ENST00000615438.4	ENSG00000135549.16	PKIB	PKIB-211	protein_coding	1	1	0.9234488315874295	0.8071135430916553
ENST00000336906.6	ENSG00000196565.15	HBG2	HBG2-201	protein_coding	1	1	1.0	0.806993006993007
ENST00000381886.8	ENSG00000187555.17	USP7	USP7-202	protein_coding	1	1	0.9600840336134454	0.8023648648648649
ENST00000625282.2	ENSG00000197694.19	SPTAN1	SPTAN1-210	retained_intron	1	1	1.0	0.8016877637130801
ENST00000798392.1	ENSG00000263307.3	RSL1D1-DT	RSL1D1-DT-208	lncRNA	1	1	0.9222222222222223	0.7952522255192879
ENST00000376747.8	ENSG00000102595.22	UGGT2	UGGT2-203	protein_coding	1	1	0.9770642201834863	0.7941176470588235
ENST00000367807.7	ENSG00000117475.14	BLZF1	BLZF1-202	protein_coding	1	1	0.9576271186440678	0.7857829010566763
ENST00000674432.1	ENSG00000077549.19	CAPZB	CAPZB-214	protein_coding	1	1	0.9767981438515081	0.7832422586520947
ENST00000677403.1	ENSG00000144381.18	HSPD1	HSPD1-215	nonsense_mediated_decay	1	1	0.9701897018970189	0.7817796610169492
ENST00000389231.9	ENSG00000111667.14	USP5	USP5-202	protein_coding	1	1	1.0	0.7790697674418605
ENST00000452248.6	ENSG00000165283.16	STOML2	STOML2-202	protein_coding	1	1	0.9928571428571429	0.7706422018348624
ENST00000321765.10	ENSG00000076382.17	SPAG5	SPAG5-201	protein_coding	1	1	1.0	0.7663934426229508
ENST00000649813.2	ENSG00000126267.11	COX6B1	COX6B1-204	protein_coding	1	1	0.8948545861297539	0.7624784853700516
ENST00000294064.9	ENSG00000162139.10	NEU3	NEU3-201	protein_coding	1	1	0.875	0.7616279069767442
ENST00000612232.1	ENSG00000134294.14	SLC38A2	SLC38A2-214	protein_coding	1	1	1.0	0.7601626016260162
ENST00000610935.2	ENSG00000142409.6	ZNF787	ZNF787-203	protein_coding	1	1	0.9700149925037481	0.7588571428571429
ENST00000335500.8	ENSG00000186566.13	GPATCH8	GPATCH8-201	retained_intron	1	1	0.9793388429752066	0.7554858934169278
ENST00000429711.7	ENSG00000144713.13	RPL32	RPL32-204	protein_coding	1	1	0.983739837398374	0.7550077041602465
ENST00000684712.1	ENSG00000138081.22	FBXO11	FBXO11-218	protein_coding_CDS_not_defined	1	1	1.0	0.7534246575342466
ENST00000584008.5	ENSG00000197170.10	PSMD12	PSMD12-207	nonsense_mediated_decay	1	1	1.0	0.75
ENST00000504813.5	ENSG00000169714.17	CNBP	CNBP-208	protein_coding	1	1	1.0	0.7479838709677419
ENST00000697262.1	ENSG00000162601.12	MYSM1	MYSM1-224	retained_intron	1	1	0.8774038461538461	0.7467652495378928
ENST00000479516.1	ENSG00000112130.17	RNF8	RNF8-205	protein_coding_CDS_not_defined	1	1	0.8018867924528302	0.7464788732394366
ENST00000260379.11	ENSG00000137818.12	RPLP1	RPLP1-201	protein_coding	1	1	0.9373493975903614	0.745945945945946
ENST00000650196.1	ENSG00000228742.12	LINC02577	LINC02577-205	lncRNA	1	1	0.9505494505494505	0.7459016393442623
ENST00000439211.7	ENSG00000228716.7	DHFR	DHFR-201	protein_coding	1	1	0.9619289340101523	0.74573055028463
ENST00000375144.6	ENSG00000077549.19	CAPZB	CAPZB-204	protein_coding	1	1	0.9128329297820823	0.7454873646209387
ENST00000561732.1	ENSG00000168488.19	ATXN2L	ATXN2L-207	retained_intron	1	1	1.0	0.7446808510638298
ENST00000472442.2	ENSG00000227500.11	SCAMP4	SCAMP4-207	retained_intron	1	1	0.8846153846153846	0.744408945686901
ENST00000620860.4	ENSG00000070785.17	EIF2B3	EIF2B3-210	protein_coding	1	1	0.964509394572025	0.7433489827856025
ENST00000445148.2	ENSG00000215269.6	GAGE12G	GAGE12G-201	protein_coding	1	1	1.0	0.7428571428571429
ENST00000613168.1	ENSG00000119673.16	ACOT2	ACOT2-204	protein_coding	1	1	0.8428571428571429	0.7420212765957447
ENST00000846473.1	ENSG00000309994.1	ENSG00000309994	ENST00000846473	lncRNA	1	1	0.9588477366255144	0.7419847328244275
ENST00000435532.8	ENSG00000069869.17	NEDD4	NEDD4-202	protein_coding	1	1	0.8993288590604027	0.74
ENST00000280612.9	ENSG00000151012.13	SLC7A11	SLC7A11-201	protein_coding	1	1	1.0	0.7384615384615385
ENST00000673083.1	ENSG00000288299.1	LDHA	LDHA-242	protein_coding	1	1	1.0	0.7376146788990826
ENST00000373062.8	ENSG00000134697.13	GNL2	GNL2-201	protein_coding	1	1	1.0	0.735812133072407
ENST00000568588.5	ENSG00000174444.15	RPL4	RPL4-215	protein_coding	1	1	0.9684542586750788	0.7348837209302326
ENST00000262241.7	ENSG00000089902.10	RCOR1	RCOR1-201	protein_coding	1	1	1.0	0.7339246119733924
ENST00000573944.5	ENSG00000127564.17	PKMYT1	PKMYT1-211	protein_coding	1	1	0.9972972972972973	0.7297830374753451
ENST00000550889.5	ENSG00000204842.18	ATXN2	ATXN2-221	retained_intron	1	1	0.9579579579579579	0.7280701754385965
ENST00000519948.4	ENSG00000253719.4	ATXN7L3B	ATXN7L3B-201	protein_coding	1	1	0.9546925566343042	0.7270588235294118
ENST00000677775.1	ENSG00000070756.17	PABPC1	PABPC1-233	retained_intron	1	1	0.889344262295082	0.7261904761904762
ENST00000293880.9	ENSG00000149136.9	SSRP1	SSRP1-202	retained_intron	1	1	0.8406374501992032	0.7194029850746269
ENST00000453304.6	ENSG00000182168.16	UNC5C	UNC5C-201	protein_coding	1	1	0.8513189448441247	0.7189655172413794
ENST00000642263.1	ENSG00000197912.16	SPG7	SPG7-225	retained_intron	1	1	0.9455445544554455	0.7188612099644128
ENST00000685924.1	ENSG00000284906.3	ENSG00000284906	ENST00000685924	protein_coding	1	1	0.900709219858156	0.7157360406091371
ENST00000540670.6	ENSG00000196365.12	LONP1	LONP1-202	protein_coding	1	1	1.0	0.7096774193548387
ENST00000394894.8	ENSG00000112984.12	KIF20A	KIF20A-201	protein_coding	1	1	1.0	0.7017543859649122
ENST00000699037.1	ENSG00000077097.17	TOP2B	TOP2B-217	protein_coding	1	1	0.9910979228486647	0.7006237006237006
ENST00000656565.1	ENSG00000225891.3	DHDDS-AS1	DHDDS-AS1-202	lncRNA	1	1	1.0	0.6966666666666667
ENST00000407075.3	ENSG00000100351.17	GRAP2	GRAP2-202	protein_coding	1	1	0.9079365079365079	0.6962305986696231
ENST00000302190.9	ENSG00000169439.12	SDC2	SDC2-201	protein_coding	1	1	0.916083916083916	0.6951219512195121
ENST00000349139.6	ENSG00000065183.16	WDR3	WDR3-201	protein_coding	1	1	1.0	0.6919315403422983
ENST00000366903.8	ENSG00000136630.13	HLX	HLX-201	protein_coding	1	1	1.0	0.6910569105691057
ENST00000418871.5	ENSG00000170949.18	ZNF160	ZNF160-202	protein_coding	1	1	0.956989247311828	0.6905940594059405
ENST00000616917.4	ENSG00000143401.15	ANP32E	ANP32E-209	protein_coding	1	1	0.9786585365853658	0.689873417721519
ENST00000263398.11	ENSG00000026508.21	CD44	CD44-201	protein_coding	1	1	0.9065934065934066	0.6893939393939394
ENST00000738704.1	ENSG00000291088.2	NPEPPSP1	NPEPPSP1-230	lncRNA	1	1	0.9446640316205533	0.6893732970027248
ENST00000545051.2	ENSG00000101665.10	SMAD7	SMAD7-202	retained_intron	1	1	0.974	0.6883656509695291
ENST00000367701.10	ENSG00000185278.16	ZBTB37	ZBTB37-201	protein_coding	1	1	0.9018181818181819	0.6875
ENST00000429133.5	ENSG00000079246.16	XRCC5	XRCC5-204	protein_coding_CDS_not_defined	1	1	1.0	0.6862745098039216
ENST00000678774.1	ENSG00000181163.14	NPM1	NPM1-230	nonsense_mediated_decay	1	1	0.9365671641791045	0.6836734693877551
ENST00000703996.1	ENSG00000119396.12	RAB14	RAB14-203	protein_coding	1	1	0.9263565891472868	0.6826666666666666
ENST00000521632.1	ENSG00000211445.13	GPX3	GPX3-206	protein_coding	1	1	0.9788732394366197	0.6819277108433734
ENST00000466525.1	ENSG00000111640.15	GAPDH	GAPDH-206	retained_intron	1	1	1.0	0.6779661016949152
ENST00000817855.1	ENSG00000306402.1	ENSG00000306402	ENST00000817855	lncRNA	1	1	0.979381443298969	0.6767441860465117
ENST00000678089.1	ENSG00000067057.19	PFKP	PFKP-215	nonsense_mediated_decay	1	1	0.9865319865319865	0.6757990867579908
ENST00000296252.9	ENSG00000163898.10	LIPH	LIPH-201	protein_coding	1	1	0.9635258358662614	0.675564681724846
ENST00000458205.6	ENSG00000076242.18	MLH1	MLH1-216	protein_coding	1	1	1.0	0.6687898089171974
ENST00000461507.5	ENSG00000160752.15	FDPS	FDPS-204	retained_intron	1	1	1.0	0.665625
ENST00000377223.6	ENSG00000162441.12	LZIC	LZIC-202	protein_coding	1	1	0.9587628865979382	0.662870159453303
ENST00000337768.10	ENSG00000119760.16	SUPT7L	SUPT7L-201	protein_coding	1	1	0.9647887323943662	0.6627634660421545
ENST00000564138.6	ENSG00000197943.13	PLCG2	PLCG2-208	protein_coding	1	1	0.8738317757009346	0.6604938271604939
ENST00000525964.7	ENSG00000151503.14	NCAPD3	NCAPD3-202	nonsense_mediated_decay	1	1	1.0	0.6587926509186351
ENST00000366764.8	ENSG00000143776.20	CDC42BPA	CDC42BPA-202	protein_coding	1	1	1.0	0.6563307493540051
ENST00000680141.1	ENSG00000166483.12	WEE1	WEE1-209	nonsense_mediated_decay	1	1	0.9886178861788618	0.6542553191489362
ENST00000310806.9	ENSG00000129534.14	MIS18BP1	MIS18BP1-201	protein_coding	1	1	1.0	0.6538461538461539
ENST00000534548.7	ENSG00000151503.14	NCAPD3	NCAPD3-212	protein_coding	1	1	1.0	0.6536458333333334
ENST00000646421.1	ENSG00000099956.20	SMARCB1	SMARCB1-218	retained_intron	1	1	0.8067226890756303	0.6528925619834711
ENST00000488165.5	ENSG00000188092.15	GPR89B	GPR89B-205	nonsense_mediated_decay	1	1	1.0	0.6522842639593909
ENST00000398576.6	ENSG00000136167.15	LCP1	LCP1-202	protein_coding	1	1	0.9698275862068966	0.651685393258427
ENST00000262584.7	ENSG00000161016.18	RPL8	RPL8-201	protein_coding	1	1	0.9586410635155096	0.6505791505791506
ENST00000457782.5	ENSG00000164048.14	ZNF589	ZNF589-207	nonsense_mediated_decay	1	1	0.9616613418530351	0.6479166666666667
ENST00000660755.1	ENSG00000227706.5	ENSG00000227706	ENST00000660755	lncRNA	1	1	0.8704453441295547	0.6465968586387435
ENST00000592576.5	ENSG00000108883.13	EFTUD2	EFTUD2-223	protein_coding	1	1	0.8945147679324894	0.6440217391304348
ENST00000686840.1	ENSG00000119335.18	SET	SET-213	protein_coding	1	1	1.0	0.6439628482972136
ENST00000475361.1	ENSG00000156500.16	PABIR3	PABIR3-207	protein_coding	1	1	0.9266409266409267	0.6432160804020101
ENST00000710852.1	ENSG00000251562.13	MALAT1	MALAT1-220	lncRNA	1	1	0.9726962457337884	0.6423841059602649
ENST00000437100.5	ENSG00000214078.13	CPNE1	CPNE1-215	protein_coding	1	1	1.0	0.6421800947867299
ENST00000315005.8	ENSG00000161692.18	DBF4B	DBF4B-201	protein_coding	1	1	1.0	0.641860465116279
ENST00000342480.7	ENSG00000114631.11	PODXL2	PODXL2-201	protein_coding	1	1	0.9204946996466431	0.641316685584563
ENST00000262134.10	ENSG00000087253.13	LPCAT2	LPCAT2-201	protein_coding	1	1	0.8992805755395683	0.6411483253588517
ENST00000371591.2	ENSG00000157077.16	ZFYVE9	ZFYVE9-204	protein_coding	1	1	1.0	0.6392961876832844
ENST00000230640.10	ENSG00000039123.16	MTREX	MTREX-201	protein_coding	1	1	0.9975	0.6389776357827476
ENST00000679276.1	ENSG00000143799.14	PARP1	PARP1-226	retained_intron	1	1	0.9710743801652892	0.6385224274406333
ENST00000355531.7	ENSG00000293510.2	AFG3L1P	AFG3L1P-202	retained_intron	1	1	1.0	0.6369327073552425
ENST00000392348.6	ENSG00000029363.17	BCLAF1	BCLAF1-202	protein_coding	1	1	0.9210526315789473	0.6368715083798883
ENST00000436336.6	ENSG00000160917.15	CPSF4	CPSF4-204	protein_coding	1	1	0.9838308457711443	0.6357878068091845
ENST00000493855.1	ENSG00000146731.11	CCT6A	CCT6A-208	retained_intron	1	1	0.9578947368421052	0.6351351351351351
ENST00000667754.1	ENSG00000293042.2	ENSG00000293042	ENST00000667754	lncRNA	1	1	0.8653846153846154	0.6341463414634146
ENST00000372940.3	ENSG00000182180.14	MRPS16	MRPS16-201	protein_coding	1	1	1.0	0.632768361581921
ENST00000257262.12	ENSG00000134825.16	TMEM258	TMEM258-201	nonsense_mediated_decay	1	1	1.0	0.6322418136020151
ENST00000483326.1	ENSG00000198862.14	LTN1	LTN1-205	nonsense_mediated_decay	1	1	0.9408602150537635	0.6313993174061433
ENST00000553700.5	ENSG00000092148.14	HECTD1	HECTD1-203	protein_coding	1	1	0.9788135593220338	0.6310160427807486
ENST00000244007.7	ENSG00000124181.15	PLCG1	PLCG1-201	protein_coding	1	1	0.9256594724220624	0.6280120481927711
ENST00000324685.11	ENSG00000103549.22	RNF40	RNF40-201	protein_coding	1	1	1.0	0.6267806267806267
ENST00000651975.2	ENSG00000171560.18	FGA	FGA-202	protein_coding	1	1	1.0	0.6262886597938144
ENST00000421109.6	ENSG00000185551.15	NR2F2	NR2F2-203	protein_coding	1	1	0.9692737430167597	0.6258741258741258
ENST00000370321.8	ENSG00000122406.14	RPL5	RPL5-202	protein_coding	1	1	0.9716157205240175	0.6217687074829932
ENST00000352456.7	ENSG00000105323.18	HNRNPUL1	HNRNPUL1-202	protein_coding	1	1	0.9332493702770781	0.6214733542319749
ENST00000330899.5	ENSG00000086061.16	DNAJA1	DNAJA1-201	protein_coding	1	1	1.0	0.6205357142857143
ENST00000371646.10	ENSG00000096384.20	HSP90AB1	HSP90AB1-203	protein_coding	1	1	1.0	0.6203866432337434
ENST00000460196.1	ENSG00000171824.14	EXOSC10	EXOSC10-203	nonsense_mediated_decay	1	1	1.0	0.6196721311475409
ENST00000603233.2	ENSG00000162599.18	NFIA	NFIA-215	retained_intron	1	1	0.9530516431924883	0.6191860465116279
ENST00000578205.5	ENSG00000126858.19	RHOT1	RHOT1-206	nonsense_mediated_decay	1	1	1.0	0.6140350877192983
ENST00000394048.10	ENSG00000139641.13	ESYT1	ESYT1-202	protein_coding	1	1	1.0	0.6118012422360248
ENST00000710877.1	ENSG00000251562.13	MALAT1	MALAT1-241	lncRNA	1	1	0.9849246231155779	0.6104294478527608
ENST00000806431.1	ENSG00000304816.1	ENSG00000304816	ENST00000806431	lncRNA	1	1	0.9934426229508196	0.6092184368737475
ENST00000224237.9	ENSG00000026025.16	VIM	VIM-201	protein_coding	1	1	0.9413833528722158	0.6078571428571429
ENST00000367445.7	ENSG00000116747.13	RO60	RO60-204	protein_coding	1	1	0.9571865443425076	0.6055555555555555
ENST00000526907.1	ENSG00000073921.18	PICALM	PICALM-206	retained_intron	1	1	0.96484375	0.6052009456264775
